client_id,process_step,error_count,variation
555,start,0,test
555,step_1,0,test
555,step_2,0,test
555,step_3,0,test
647,start,0,test
647,step_1,0,test
647,step_2,0,test
647,step_3,0,test
934,start,3,test
1336,start,0,test
1336,step_1,0,test
1336,step_2,0,test
1336,step_3,0,test
1346,start,4,test
1346,step_1,1,test
1346,step_3,1,test
1346,step_2,0,test
1516,start,5,test
1516,step_1,3,test
1516,step_2,3,test
1516,step_3,0,test
1643,start,4,test
1643,step_1,1,test
1643,step_2,0,test
1643,step_3,0,test
1755,start,1,test
1755,step_1,1,test
1755,step_2,1,test
1755,step_3,1,test
1836,start,3,test
1836,step_1,3,test
1836,step_2,0,test
1836,step_3,0,test
1936,start,3,test
1936,step_2,1,test
1936,step_3,1,test
1936,step_1,0,test
2720,start,2,test
3232,start,0,test
3232,step_1,0,test
3232,step_2,0,test
3232,step_3,0,test
3572,start,0,test
3572,step_1,0,test
3572,step_2,0,test
3572,step_3,0,test
4369,start,0,test
4369,step_1,0,test
4369,step_2,0,test
4369,step_3,0,test
4484,start,1,test
4484,step_3,1,test
4484,step_1,0,test
4484,step_2,0,test
4603,start,0,test
4603,step_1,0,test
4603,step_2,0,test
4603,step_3,0,test
4717,start,2,test
4717,step_1,1,test
4717,step_2,1,test
4717,step_3,1,test
4870,start,0,test
4870,step_1,0,test
4870,step_2,0,test
4870,step_3,0,test
5845,step_3,2,test
5845,start,1,test
5845,step_1,1,test
5845,step_2,1,test
6022,start,1,test
6022,step_1,0,test
6150,start,0,test
6904,start,0,test
6904,step_1,0,test
6904,step_2,0,test
6904,step_3,0,test
7561,start,2,test
7561,step_1,1,test
7561,step_2,0,test
7563,start,0,test
7563,step_1,0,test
7563,step_2,0,test
7563,step_3,0,test
7657,start,1,test
7657,step_1,1,test
7657,step_2,0,test
7657,step_3,0,test
7723,start,0,test
7723,step_1,0,test
7723,step_2,0,test
7723,step_3,0,test
7934,start,1,test
7934,step_1,0,test
8023,start,0,test
8023,step_1,0,test
8055,start,0,test
8055,step_1,0,test
8055,step_2,0,test
8055,step_3,0,test
8610,start,1,test
8712,start,1,test
8712,step_1,1,test
8712,step_2,1,test
8820,start,0,test
8820,step_1,0,test
8820,step_2,0,test
8820,step_3,0,test
9751,start,2,test
9751,step_1,1,test
9751,step_2,1,test
9916,start,0,test
9916,step_1,0,test
9916,step_2,0,test
10363,start,0,test
10363,step_1,0,test
11040,start,0,test
11040,step_1,0,test
11040,step_2,0,test
11040,step_3,0,test
11309,start,0,test
11309,step_1,0,test
11309,step_2,0,test
11309,step_3,0,test
11880,start,4,test
11880,step_1,1,test
11880,step_2,0,test
11880,step_3,0,test
12785,step_2,1,test
12785,step_3,1,test
12785,start,0,test
12785,step_1,0,test
13735,start,0,test
13735,step_1,0,test
13735,step_2,0,test
13735,step_3,0,test
14690,start,1,test
14690,step_1,0,test
15050,start,2,test
15050,step_1,2,test
15050,step_2,0,test
15050,step_3,0,test
15189,start,0,test
15189,step_1,0,test
15189,step_2,0,test
15189,step_3,0,test
15753,start,4,test
15753,step_1,1,test
15753,step_2,1,test
15753,step_3,0,test
15807,start,1,test
15807,step_1,0,test
15807,step_2,0,test
15807,step_3,0,test
16098,start,0,test
16098,step_1,0,test
16098,step_2,0,test
16098,step_3,0,test
16295,start,2,test
16295,step_1,2,test
16295,step_2,0,test
16295,step_3,0,test
16881,start,0,test
17170,start,0,test
17170,step_1,0,test
17170,step_2,0,test
17170,step_3,0,test
17318,start,1,test
17318,step_1,0,test
17318,step_2,0,test
17318,step_3,0,test
17404,start,0,test
17404,step_1,0,test
17404,step_2,0,test
17404,step_3,0,test
18549,start,0,test
18549,step_1,0,test
18549,step_2,0,test
18549,step_3,0,test
19060,start,1,test
19060,step_1,0,test
19060,step_2,0,test
19060,step_3,0,test
20185,step_1,9,test
20185,step_2,9,test
20185,start,5,test
20185,step_3,2,test
20564,step_3,3,test
20564,step_2,2,test
20564,start,0,test
20564,step_1,0,test
20643,start,0,test
20643,step_1,0,test
20643,step_2,0,test
20643,step_3,0,test
20668,start,1,test
20668,step_1,0,test
21200,start,1,test
21200,step_1,0,test
21200,step_2,0,test
21200,step_3,0,test
21281,step_1,2,test
21281,start,1,test
21281,step_2,1,test
21281,step_3,0,test
21403,start,4,test
21522,start,8,test
21522,step_1,2,test
21522,step_2,1,test
21522,step_3,1,test
21596,start,1,test
21596,step_1,1,test
21596,step_2,0,test
21596,step_3,0,test
22007,start,0,test
22007,step_1,0,test
22007,step_2,0,test
22007,step_3,0,test
22793,start,0,test
22793,step_1,0,test
22793,step_2,0,test
23914,start,0,test
23914,step_1,0,test
23914,step_2,0,test
23914,step_3,0,test
24443,start,5,test
24443,step_1,5,test
24443,step_2,4,test
24443,step_3,2,test
24572,start,1,test
24572,step_1,1,test
24572,step_2,0,test
24572,step_3,0,test
24703,start,0,test
24703,step_1,0,test
24841,start,1,test
24841,step_1,1,test
24841,step_2,0,test
24841,step_3,0,test
25022,start,0,test
25022,step_1,0,test
25022,step_2,0,test
25022,step_3,0,test
25026,start,0,test
25026,step_1,0,test
25026,step_2,0,test
25026,step_3,0,test
26036,start,0,test
26036,step_1,0,test
26036,step_2,0,test
26036,step_3,0,test
26070,start,0,test
26070,step_1,0,test
26070,step_2,0,test
26070,step_3,0,test
26105,start,1,test
26105,step_1,0,test
26105,step_2,0,test
26105,step_3,0,test
26696,start,2,test
27075,start,0,test
27075,step_1,0,test
27075,step_2,0,test
27075,step_3,0,test
27764,start,1,test
27764,step_1,1,test
27764,step_2,0,test
27764,step_3,0,test
27907,start,0,test
27907,step_1,0,test
27907,step_2,0,test
27907,step_3,0,test
28241,start,0,test
28241,step_1,0,test
28241,step_2,0,test
28241,step_3,0,test
28371,start,1,test
28371,step_1,1,test
28371,step_2,1,test
28371,step_3,0,test
29227,start,2,test
29227,step_1,0,test
29227,step_2,0,test
29227,step_3,0,test
29527,step_2,1,test
29527,start,0,test
29527,step_1,0,test
29527,step_3,0,test
30318,start,4,test
30318,step_1,2,test
30318,step_2,1,test
30318,step_3,1,test
30462,start,0,test
30493,step_1,2,test
30493,start,1,test
30493,step_2,0,test
30493,step_3,0,test
31336,step_1,5,test
31336,step_2,3,test
31336,start,1,test
31336,step_3,1,test
31404,start,0,test
31404,step_1,0,test
31404,step_2,0,test
31404,step_3,0,test
31499,start,2,test
31499,step_1,1,test
31499,step_2,1,test
31499,step_3,0,test
31597,start,15,test
31597,step_1,9,test
31597,step_2,8,test
31597,step_3,8,test
31766,start,2,test
31766,step_1,2,test
31766,step_2,0,test
32471,start,2,test
32471,step_1,1,test
32471,step_2,1,test
32471,step_3,1,test
32521,start,0,test
32521,step_1,0,test
32521,step_2,0,test
32521,step_3,0,test
32746,start,3,test
32746,step_1,2,test
32746,step_2,0,test
32746,step_3,0,test
33265,start,0,test
33265,step_1,0,test
33265,step_2,0,test
33265,step_3,0,test
33472,start,0,test
33472,step_1,0,test
33472,step_2,0,test
33472,step_3,0,test
33752,start,0,test
33752,step_1,0,test
33752,step_2,0,test
33752,step_3,0,test
34101,start,3,test
34608,start,0,test
34608,step_1,0,test
35010,start,1,test
35010,step_1,1,test
35010,step_2,0,test
35091,start,1,test
35091,step_1,0,test
35138,start,0,test
35138,step_1,0,test
35138,step_2,0,test
35138,step_3,0,test
35181,start,2,test
35181,step_1,1,test
35181,step_2,0,test
35181,step_3,0,test
35476,start,4,test
35476,step_1,2,test
35476,step_2,0,test
35476,step_3,0,test
35922,start,1,test
