visit_id,time_elapsed,client_id,client_age,age_category
10006594_66157970412_679648,5.9,3479519,52.0,adult
10007589_47780784567_391490,12.016666666666667,5477656,54.0,adult
100254180_47139859079_984581,5.683333333333334,984526,66.0,senior
100309269_21684743336_936307,4.0,7224020,50.0,adult
100471971_3065983298_584030,2.566666666666667,3673713,42.0,adult
100481857_71511233596_788753,12.933333333333334,6235268,48.0,adult
100608591_65788886975_921579,1.7333333333333334,8860154,26.0,young
100733473_61604582110_215085,5.583333333333333,9956593,62.0,senior
100742196_25888718318_18393,2.4,5730234,62.0,senior
100768839_4432812320_405870,7.45,3467432,72.0,senior
100911179_58982643631_833777,4.916666666666667,7922438,46.0,adult
100982387_94833499276_254813,3.0,4337769,30.0,young
101120116_70489660261_84827,7.216666666666667,4871055,48.0,adult
101127163_76213781950_64100,4.366666666666666,5102064,56.0,adult
101143883_71782939078_772553,2.6166666666666667,3351016,41.0,adult
101299207_34352941387_283858,2.2666666666666666,5189898,20.0,young
10132415_28171840649_223256,4.516666666666667,2086680,64.0,senior
101420660_70864320063_268486,2.8666666666666667,4167905,52.0,adult
10146625_55092448080_942181,2.35,7866354,52.0,adult
101632913_38542641459_604433,3.533333333333333,9791984,26.0,young
101723155_55190658662_237894,3.6,1159819,32.0,adult
101815309_16518757746_588210,2.85,6017862,46.0,adult
101943895_86775091670_183092,9.383333333333333,159268,62.0,senior
10195285_83113954302_914786,6.35,8252266,26.0,young
101992635_61594742250_953624,3.816666666666667,6642237,52.0,adult
102039130_96083762708_562998,1.4833333333333334,9719474,54.0,adult
102087008_74127215915_642470,12.233333333333333,9009821,46.0,adult
102117430_8358683171_251810,6.283333333333333,5084415,62.0,senior
102241937_44186923257_675771,1.45,2268205,30.0,young
102444768_32769766838_982610,6.766666666666667,5630016,52.0,adult
102665060_37915112799_22973,11.516666666666667,8153325,48.0,adult
102700395_3650299328_241644,4.316666666666666,7854180,52.0,adult
102732284_85491431716_901533,9.016666666666667,499278,55.0,adult
