client_id,variation,error_count
555,test,0
647,test,0
934,test,3
1028,control,5
1104,control,1
1186,control,1
1195,control,0
1197,control,2
1336,test,0
1346,test,6
1368,control,0
1516,test,11
1643,test,5
1755,test,4
1836,test,6
1936,test,5
2439,control,0
2581,control,0
2720,test,2
3232,test,0
3572,test,0
3647,control,2
3743,control,0
4369,test,0
4484,test,2
4603,test,0
4717,test,5
4870,test,0
5354,control,2
5845,test,5
6022,test,1
6150,test,0
6642,control,0
6904,test,0
6977,control,1
6985,control,1
7020,control,7
7561,test,3
7563,test,0
7567,control,1
7657,test,2
7723,test,0
7934,test,1
8023,test,0
8039,control,0
8055,test,0
8101,control,0
8124,control,0
8610,test,1
8712,test,3
8820,test,0
9229,control,5
9751,test,4
9767,control,5
9845,control,0
9916,test,0
10344,control,4
10363,test,0
11040,test,0
11054,control,1
11070,control,7
11122,control,0
11309,test,0
11880,test,5
12045,control,1
12785,test,2
13009,control,4
13735,test,0
13831,control,6
14690,test,1
14775,control,0
15050,test,4
15189,test,0
15753,test,6
15807,test,1
16095,control,0
16098,test,0
16135,control,10
16202,control,1
16295,test,4
16549,control,6
16679,control,5
16744,control,1
16747,control,0
16881,test,0
17008,control,0
17036,control,0
17160,control,5
17170,test,0
17318,test,1
17404,test,0
18549,test,0
18660,control,2
18973,control,1
19060,test,1
19613,control,0
19782,control,0
19813,control,1
19832,control,0
20091,control,3
20185,test,25
20537,control,0
20564,test,5
20643,test,0
20668,test,1
20898,control,0
21200,test,1
21242,control,0
21281,test,4
21353,control,4
21403,test,4
21498,control,7
21522,test,12
21596,test,2
21719,control,0
21940,control,6
21970,control,4
22007,test,0
22793,test,0
22885,control,19
23276,control,2
23864,control,0
23914,test,0
24079,control,2
24443,test,16
24572,test,2
24703,test,0
24710,control,0
24841,test,2
25022,test,0
25026,test,0
25043,control,0
25766,control,2
26036,test,0
26070,test,0
26105,test,1
26211,control,0
26286,control,0
26696,test,2
27021,control,4
27075,test,0
27241,control,5
27554,control,0
